taxi_driver,trips,duration_average
723,4,820.5
15,9,815.7777777777778
808,5,1033.2
331,41,967.1463414634146
504,8,1050.125
818,18,957.0
63,1,674.0
125,45,920.8444444444444
228,7,618.4285714285714
66,11,865.2727272727273
133,4,1166.0
112,1,318.0
477,10,1097.9
523,4,1161.25
203,1,1033.0
64,5,594.0
558,28,887.1071428571429
921,14,960.2857142857143
57,22,1117.6363636363637
315,24,1065.125
262,21,1000.1428571428571
830,8,1129.75
356,19,954.0
377,13,861.2307692307693
780,11,694.8181818181819
941,1,1406.0
720,5,420.6
844,15,987.2666666666667
292,1,1966.0
369,32,896.375
188,15,987.8
892,6,1171.3333333333333
544,10,722.0
190,18,864.4444444444445
414,7,796.8571428571429
642,3,510.0
1020,3,586.0
9,13,895.3846153846154
1019,50,875.24
26,14,748.0
296,2,1028.0
944,2,808.0
329,20,1079.8
684,2,908.5
1029,56,962.0357142857143
835,5,1180.6
1047,6,968.0
531,95,858.5052631578948
1068,81,919.5555555555555
175,35,784.0
28,5,654.8
1078,1,446.0
1073,1,224.0
72,2,1082.0
690,1,962.0
339,29,1035.6896551724137
1093,1,793.0
566,33,1083.909090909091
59,3,835.3333333333334
432,6,888.5
1156,2,546.0
568,5,761.0
654,2,1078.0
962,3,1285.6666666666667
481,1,427.0
707,1,945.0
234,28,946.1785714285714
128,19,945.0526315789474
346,1,318.0
257,24,913.0416666666666
665,11,749.7272727272727
94,10,1005.5
618,1,648.0
703,24,831.6666666666666
475,8,865.25
165,50,983.22
837,24,917.4583333333334
399,18,1093.7777777777778
728,23,996.6521739130435
86,27,974.2962962962963
817,14,1006.2857142857143
487,34,867.0882352941177
79,8,907.0
230,87,870.7701149425287
409,32,848.71875
385,1,692.0
405,12,846.5833333333334
319,48,885.7916666666666
911,3,733.0
920,14,1014.5714285714286
815,135,909.3703703703703
376,6,1000.0
635,1,828.0
733,71,805.8169014084507
443,20,954.2
248,20,1048.8
784,6,843.3333333333334
773,17,892.9411764705883
810,11,672.4545454545455
932,22,872.9545454545455
480,51,827.5686274509804
98,10,936.3
965,2,858.0
134,18,784.2222222222222
113,56,784.4464285714286
340,41,897.780487804878
81,44,1036.4318181818182
737,23,815.2173913043479
75,24,968.1666666666666
948,12,996.0833333333334
278,82,897.170731707317
408,1,1268.0
825,7,1143.5714285714287
233,28,1006.3928571428571
512,28,970.3214285714286
591,7,865.7142857142857
284,6,881.8333333333334
1009,10,1098.5
224,13,913.7692307692307
82,4,552.25
1051,6,906.1666666666666
1062,3,1062.0
1067,30,969.7333333333333
673,7,1257.7142857142858
1064,16,936.6875
1046,20,847.25
1053,15,1113.2
108,5,785.6
386,2,591.5
90,6,992.8333333333334
439,5,861.6
601,1,472.0
748,4,926.25
1124,16,911.875
382,9,1201.111111111111
406,18,779.2777777777778
973,1,712.0
1131,1,1484.0
1137,12,757.0833333333334
939,2,551.5
955,21,1067.7619047619048
485,1,666.0
694,12,1069.8333333333333
1160,4,1186.0
553,5,1051.8
1144,4,484.75
1142,7,994.7142857142857
740,10,1038.4
1079,2,1185.0
521,9,704.4444444444445
704,4,1107.0
330,1,1000.0
1189,6,992.1666666666666
674,1,706.0
1130,16,991.9375
1191,1,1528.0
805,2,745.5
1122,1,1135.0
515,2,1194.0
1203,6,928.5
1200,2,867.0
1212,3,1190.0
295,142,900.3239436619718
39,77,773.5974025974026
351,12,896.1666666666666
506,33,865.0
693,4,637.75
62,7,994.0
796,24,960.125
236,37,824.4054054054054
218,10,958.5
205,27,950.925925925926
770,36,946.4444444444445
724,40,970.075
548,44,896.4772727272727
761,11,797.1818181818181
215,26,896.0384615384615
904,18,1072.2777777777778
850,18,920.1111111111111
676,1,697.0
152,17,1235.4117647058824
185,3,897.6666666666666
743,52,876.0192307692307
142,95,994.9894736842106
918,43,859.8139534883721
899,3,1029.6666666666667
366,4,1386.25
923,32,936.0625
204,66,980.5151515151515
606,13,873.4615384615385
831,47,823.8936170212766
177,3,949.3333333333334
937,27,927.3333333333334
249,8,1191.0
372,42,876.0952380952381
324,11,856.2727272727273
938,34,843.9411764705883
838,15,970.4
853,9,707.5555555555555
922,1,323.0
571,54,938.5370370370371
430,5,556.4
894,64,958.46875
644,27,940.925925925926
902,32,908.21875
469,26,1006.3461538461538
755,10,917.3
866,4,1219.5
269,9,881.3333333333334
792,3,576.0
1004,53,885.9433962264151
705,1,1574.0
27,4,1618.0
747,25,892.08
954,5,721.0
1017,26,801.5384615384615
65,4,962.25
1026,31,857.5483870967741
677,5,1295.8
1022,4,809.75
556,1,847.0
333,2,954.5
390,6,1048.1666666666667
275,10,757.7
97,28,885.2142857142857
402,10,1063.5
798,20,993.9
1055,12,1151.0833333333333
1096,24,990.2083333333334
900,23,1002.0434782608696
235,9,1145.4444444444443
1128,7,939.2857142857143
1134,15,943.6666666666666
658,11,981.3636363636364
197,1,819.0
809,2,626.5
709,4,705.75
1007,5,794.8
979,1,472.0
232,1,1591.0
274,5,1251.0
1207,5,970.6
301,1,1896.0
350,1,298.0
